county,fips,state_id,state_name,population,ppercentage
Chippewa County,26033,MI,Michigan,37629,0.000113529
Yadkin County,37197,NC,North Carolina,37602,0.000113447
Colleton County,45029,SC,South Carolina,37585,0.000113396
Douglas County,27041,MN,Minnesota,37513,0.000113179
Essex County,36031,NY,New York,37459,0.000113016
Independence County,5063,AR,Arkansas,37427,0.000112919
Dyer County,47045,TN,Tennessee,37416,0.000112886
Putnam County,18133,IN,Indiana,37384,0.00011279
Boone County,5009,AR,Arkansas,37331,0.00011263
Graves County,21083,KY,Kentucky,37248,0.000112379
Gloucester County,51073,VA,Virginia,37222,0.000112301
Alexander County,37003,NC,North Carolina,37213,0.000112274
Covington County,1039,AL,Alabama,37200,0.000112234
Talbot County,24041,MD,Maryland,37167,0.000112135
Alcorn County,28003,MS,Mississippi,37090,0.000111902
Knox County,18083,IN,Indiana,37065,0.000111827
Bryan County,13029,GA,Georgia,37063,0.000111821
Escambia County,1053,AL,Alabama,37057,0.000111803
Beauregard Parish,22011,LA,Louisiana,37043,0.000111761
Jasper County,19099,IA,Iowa,36971,0.000111543
DeSoto County,12027,FL,Florida,36903,0.000111338
Green County,55045,WI,Wisconsin,36896,0.000111317
Addison County,50001,VT,Vermont,36882,0.000111275
Greene County,42059,PA,Pennsylvania,36870,0.000111239
Williams County,39171,OH,Ohio,36816,0.000111076
Matagorda County,48321,TX,Texas,36774,0.000110949
Finney County,20055,KS,Kansas,36750,0.000110877
Steele County,27147,MN,Minnesota,36683,0.000110675
Dodge County,31053,NE,Nebraska,36665,0.00011062
Isle of Wight County,51093,VA,Virginia,36627,0.000110506
Coshocton County,39031,OH,Ohio,36585,0.000110379
Webster County,19187,IA,Iowa,36545,0.000110258
Hopkins County,48223,TX,Texas,36486,0.00011008
Floyd County,21071,KY,Kentucky,36456,0.00010999
Huntington County,18069,IN,Indiana,36359,0.000109697
Howard County,48227,TX,Texas,36349,0.000109667
Dare County,37055,NC,North Carolina,36222,0.000109284
Whitley County,21235,KY,Kentucky,36131,0.000109009
Uintah County,49047,UT,Utah,36084,0.000108867
Scotts Bluff County,31157,NE,Nebraska,36074,0.000108837
Houghton County,26061,MI,Michigan,36070,0.000108825
Louisa County,51109,VA,Virginia,36040,0.000108735
Livingston County,17105,IL,Illinois,36040,0.000108735
Delta County,26041,MI,Michigan,36026,0.000108692
Perry County,39127,OH,Ohio,36022,0.00010868
Orange County,51137,VA,Virginia,36010,0.000108644
Clark County,21049,KY,Kentucky,35971,0.000108526
McLeod County,27085,MN,Minnesota,35832,0.000108107
Miami County,18103,IN,Indiana,35815,0.000108056
Bennington County,50003,VT,Vermont,35746,0.000107848
Hill County,48217,TX,Texas,35689,0.000107676
Monroe County,28095,MS,Mississippi,35673,0.000107627
Carlton County,27017,MN,Minnesota,35633,0.000107507
Marshall County,28093,MS,Mississippi,35599,0.000107404
Ware County,13299,GA,Georgia,35593,0.000107386
Greenup County,21089,KY,Kentucky,35555,0.000107271
Cocke County,47029,TN,Tennessee,35552,0.000107262
Laclede County,29105,MO,Missouri,35531,0.000107199
Barry County,29009,MO,Missouri,35530,0.000107196
Jasper County,48241,TX,Texas,35506,0.000107123
Sagadahoc County,23023,ME,Maine,35452,0.000106961
Oneida County,55085,WI,Wisconsin,35381,0.000106746
Adams County,18001,IN,Indiana,35376,0.000106731
Cowley County,20035,KS,Kansas,35351,0.000106656
Lincoln County,31111,NE,Nebraska,35263,0.00010639
Williams County,38105,ND,North Dakota,35208,0.000106224
Washington County,48477,TX,Texas,35163,0.000106089
Greenbrier County,54025,WV,West Virginia,35155,0.000106064
Wapello County,19179,IA,Iowa,35141,0.000106022
Fulton County,17057,IL,Illinois,35092,0.000105874
Madison County,31119,NE,Nebraska,35080,0.000105838
Scotland County,37165,NC,North Carolina,35076,0.000105826
Morrow County,39117,OH,Ohio,35043,0.000105727
Lincoln County,40081,OK,Oklahoma,34895,0.00010528
Sioux County,19167,IA,Iowa,34827,0.000105075
Macon County,37113,NC,North Carolina,34813,0.000105033
Silver Bow County,30093,MT,Montana,34770,0.000104903
Brookings County,46011,SD,South Dakota,34601,0.000104393
Clark County,55019,WI,Wisconsin,34579,0.000104327
Halifax County,51083,VA,Virginia,34552,0.000104245
Fannin County,48147,TX,Texas,34537,0.0001042
Harvey County,20079,KS,Kansas,34503,0.000104097
Steuben County,18151,IN,Indiana,34453,0.000103947
Warren County,29219,MO,Missouri,34453,0.000103947
Seneca County,36099,NY,New York,34390,0.000103756
Lee County,17103,IL,Illinois,34389,0.000103753
Lincoln County,28085,MS,Mississippi,34320,0.000103545
Morgan County,17137,IL,Illinois,34247,0.000103325
Lee County,19111,IA,Iowa,34227,0.000103265
Lincoln County,23015,ME,Maine,34201,0.000103186
Panola County,28107,MS,Mississippi,34190,0.000103153
Pulaski County,51155,VA,Virginia,34182,0.000103129
Ford County,20057,KS,Kansas,34179,0.00010312
Monroe County,17133,IL,Illinois,34168,0.000103087
Effingham County,17049,IL,Illinois,34137,0.000102993
Harris County,13145,GA,Georgia,34105,0.000102897
Geary County,20061,KS,Kansas,34025,0.000102655
